,rating,genre,star,budget,runtime,star_net_worth
71797,G,Animation,Michael Crawford,13000000.0,71.0,10000000.0
71807,R,Western,Mario Van Peebles,10000000.0,111.0,12000000.0
71874,R,Comedy,Uma Thurman,8000000.0,106.0,45000000.0
71890,R,Action,Eric Roberts,7000000.0,101.0,8000000.0
71898,PG-13,Comedy,Andrew Lowery,12000000.0,85.0,
71915,R,Action,Julian Sands,3000000.0,98.0,3000000.0
71951,PG-13,Action,Rongguang Yu,11000000.0,85.0,
71961,PG,Action,Hulk Hogan,10000000.0,84.0,25000000.0
72023,R,Drama,Harvey Keitel,10000000.0,108.0,45000000.0
72058,R,Crime,Michael Biehn,10000000.0,98.0,8000000.0
72138,PG,Biography,Kathy Bates,12000000.0,104.0,32000000.0
72164,R,Crime,Rebecca De Mornay,12000000.0,107.0,11000000.0
72192,R,Comedy,Winston Chao,1000000.0,106.0,
72208,PG-13,Drama,Paul Gross,14000000.0,113.0,
72239,R,Crime,Madeleine Stowe,11000000.0,106.0,13000000.0
72487,R,Crime,Wesley Snipes,10000000.0,123.0,10000000.0
72509,R,Comedy,Ally Sheedy,6000000.0,87.0,6000000.0
72619,R,Drama,Richard Gere,25000000.0,114.0,120000000.0
72643,R,Horror,Diane Ladd,850000.0,83.0,10000000.0
72651,PG-13,Comedy,Matt Dillon,13000000.0,98.0,40000000.0
72680,PG,Comedy,Burt Reynolds,14000000.0,97.0,3000000.0
72705,R,Comedy,John Cusack,11000000.0,100.0,50000000.0
72748,PG,Comedy,Roberto Benigni,25000000.0,93.0,15000000.0
72763,R,Drama,Phoebe Cates,2500000.0,95.0,35000000.0
72905,R,Drama,Jamie Lee Curtis,8000000.0,96.0,60000000.0
72915,G,Family,Darci Kistler,19000000.0,92.0,
73003,PG-13,Action,Brad Johnson,5000000.0,97.0,15000000.0
73013,R,Comedy,Larry B. Scott,999999.0,88.0,500000.0
73042,PG-13,Adventure,Jacob Tierney,18000000.0,96.0,
73058,R,Comedy,Matthew Broderick,8000000.0,99.0,200000000.0
73066,R,Drama,Tim Robbins,25000000.0,142.0,70000000.0
73074,R,Crime,John Travolta,8000000.0,154.0,250000000.0
73083,PG-13,Drama,Tom Hanks,55000000.0,142.0,400000000.0
73100,R,Action,Arnold Schwarzenegger,115000000.0,141.0,400000000.0
73117,G,Animation,Matthew Broderick,45000000.0,88.0,200000000.0
73187,PG-13,Action,Jim Carrey,23000000.0,101.0,180000000.0
73282,R,Action,Keanu Reeves,30000000.0,116.0,360000000.0
73404,PG-13,Action,Kurt Russell,55000000.0,116.0,100000000.0
73412,PG,Comedy,Travis Tedford,23000000.0,82.0,500000.0
73450,PG-13,Comedy,Jim Carrey,17000000.0,107.0,180000000.0
73470,R,Drama,Brad Pitt,30000000.0,133.0,300000000.0
73480,R,Action,Woody Harrelson,34000000.0,118.0,70000000.0
73500,R,Action,Brandon Lee,23000000.0,102.0,5000000.0
73541,R,Comedy,Hugh Grant,4400000.0,117.0,150000000.0
73559,PG,Comedy,John Goodman,46000000.0,91.0,65000000.0
73586,PG-13,Comedy,Jim Carrey,15000000.0,86.0,180000000.0
73604,PG,Drama,Susan Sarandon,18000000.0,115.0,60000000.0
73896,PG-13,Action,Jean-Claude Van Damme,35000000.0,102.0,40000000.0
73918,PG-13,Action,Harrison Ford,62000000.0,141.0,300000000.0
73936,R,Biography,Melanie Lynskey,5000000.0,99.0,5000000.0
73944,R,Comedy,Brian O'Halloran,27000.0,92.0,1000000.0
73972,PG,Action,Mel Gibson,75000000.0,127.0,425000000.0
74021,PG-13,Adventure,Kevin Costner,63000000.0,191.0,250000000.0
74029,R,Crime,Linda Fiorentino,2500000.0,110.0,3000000.0
74037,PG,Comedy,Rick Moranis,20000000.0,107.0,10000000.0
74058,R,Biography,Johnny Depp,18000000.0,127.0,150000000.0
74067,PG,Action,Patrick Stewart,35000000.0,118.0,70000000.0
74086,R,Drama,Michael Douglas,55000000.0,128.0,350000000.0
74183,PG,Comedy,Danny Glover,24000000.0,102.0,40000000.0
74201,R,Drama,Sam Neill,8000000.0,95.0,18000000.0
74209,PG,Comedy,Macaulay Culkin,40000000.0,95.0,18000000.0
74237,R,Action,Eddie Murphy,50000000.0,104.0,200000000.0
74247,PG-13,Comedy,Winona Ryder,11500000.0,99.0,18000000.0
74421,PG-13,Comedy,Arnold Schwarzenegger,60000000.0,109.0,400000000.0
74529,R,Fantasy,Heather Langenkamp,8000000.0,112.0,1500000.0
74537,PG,Adventure,Lara Flynn Boyle,48000000.0,99.0,10000000.0
74545,PG-13,Adventure,Meryl Streep,45000000.0,111.0,160000000.0
74561,R,Comedy,Renée Zellweger,600000.0,87.0,90000000.0
74569,PG,Action,Pat Morita,12000000.0,107.0,5000000.0
74577,R,Action,Jeff Bridges,28000000.0,121.0,100000000.0
74677,R,Mystery,Bruce Willis,40000000.0,121.0,250000000.0
74686,PG,Adventure,Elijah Wood,40000000.0,87.0,20000000.0
74732,R,Comedy,Toni Collette,9000000.0,106.0,18000000.0
74740,PG-13,Crime,Susan Sarandon,45000000.0,119.0,60000000.0
74810,PG,Comedy,Nicolas Cage,20000000.0,101.0,25000000.0
74964,R,Drama,Jack Nicholson,70000000.0,125.0,400000000.0
75122,R,Comedy,Dana Delany,25000000.0,113.0,10000000.0
75131,PG,Adventure,Jason Scott Lee,27000000.0,111.0,6000000.0
75269,PG,Comedy,Tim Robbins,40000000.0,111.0,70000000.0
75277,R,Action,Jean-Claude Van Damme,27000000.0,99.0,40000000.0
75302,PG,Comedy,Tim Allen,22000000.0,97.0,100000000.0
75312,R,Action,Sylvester Stallone,45000000.0,110.0,400000000.0
75384,G,Animation,Macaulay Culkin,27000000.0,80.0,18000000.0
75404,R,Crime,Kerry Fox,2500000.0,89.0,
75430,R,Comedy,Kathleen Turner,13000000.0,95.0,20000000.0
75438,R,Action,Madeleine Stowe,25000000.0,99.0,13000000.0
75580,PG-13,Action,Alec Baldwin,25000000.0,108.0,60000000.0
75769,PG-13,Drama,Jessica Lange,16000000.0,101.0,15000000.0
75794,PG-13,Biography,Ralph Fiennes,31000000.0,133.0,30000000.0
75805,R,Action,Rutger Hauer,7400000.0,96.0,16000000.0
75823,PG-13,Drama,Jodie Foster,24500000.0,112.0,100000000.0
76067,PG,Comedy,Charlie Sheen,25000000.0,105.0,10000000.0
76076,PG-13,Comedy,Johnny Depp,25000000.0,97.0,150000000.0
76098,PG,Comedy,Martin Short,19000000.0,90.0,40000000.0
76111,G,Animation,Jodi Benson,28000000.0,86.0,5000000.0
76136,PG-13,Action,Robert Patrick,7850000.0,96.0,12000000.0
76167,R,Drama,Sigourney Weaver,12000000.0,103.0,60000000.0
76189,PG-13,Comedy,Jeremy Piven,8000000.0,79.0,30000000.0
76197,PG,Biography,Massimo Troisi,3000000.0,108.0,
76269,PG-13,Biography,Luke Perry,7000000.0,105.0,10000000.0
76277,PG-13,Biography,Nigel Hawthorne,65897768.0,110.0,
76305,PG,Drama,Jeni Courtney,3000000.0,103.0,
76313,R,Crime,Duane Martin,3500000.0,96.0,500000.0
76362,PG,Comedy,G.W. Bailey,6200000.0,83.0,5000000.0
76388,R,Action,Steven Seagal,50000000.0,101.0,16000000.0
76396,R,Comedy,Sophia Loren,18000000.0,133.0,75000000.0
76406,R,Comedy,John Cusack,20000000.0,98.0,50000000.0
76423,PG-13,Comedy,Alfre Woodard,14000000.0,115.0,13000000.0
76431,Unrated,Comedy,Jeremy Davies,200000.0,100.0,2000000.0
76439,R,Drama,Richard Gere,45000000.0,98.0,120000000.0
76647,G,Animation,Jack Palance,45000000.0,90.0,10000000.0
77114,PG-13,Comedy,Danny DeVito,40000000.0,128.0,80000000.0
77138,R,Crime,Allen Payne,7000000.0,119.0,5000000.0
77170,PG-13,Action,Woody Harrelson,35000000.0,102.0,70000000.0
77178,R,Action,Ray Liotta,20000000.0,118.0,14000000.0
77398,R,Comedy,Anthony Hopkins,25000000.0,118.0,160000000.0
77471,PG-13,Adventure,Chris Elliott,9000000.0,80.0,10000000.0
77479,PG-13,Comedy,Shirley MacLaine,20000000.0,96.0,50000000.0
77621,R,Action,Wesley Snipes,45000000.0,101.0,10000000.0
77711,R,Action,Charles Bronson,5000000.0,95.0,65000000.0
77734,R,Comedy,Denis Leary,11000000.0,96.0,30000000.0
77754,PG,Comedy,Tim Robbins,25000000.0,100.0,70000000.0
77777,PG,Action,Victor Wong,20000000.0,93.0,
77790,R,Comedy,Harley Jane Kozak,13000000.0,97.0,5000000.0
77863,R,Comedy,Michael Keaton,6000000.0,112.0,40000000.0
77886,PG-13,Action,Charlie Sheen,50000000.0,102.0,10000000.0
77912,R,Crime,Ed Harris,15000000.0,99.0,8000000.0
77929,R,Crime,Tim Roth,2300000.0,98.0,7000000.0
78001,R,Crime,Sean Nelson,3500000.0,114.0,500000.0
78149,R,Comedy,Warwick Davis,2000000.0,85.0,8000000.0
78158,PG-13,Comedy,Warren Beatty,60000000.0,108.0,70000000.0
78206,PG-13,Comedy,Steve Martin,15000000.0,97.0,140000000.0
78304,R,Drama,Richard Dreyfuss,30000000.0,101.0,5000000.0
78321,PG,Comedy,Kevin Bacon,17080000.0,107.0,45000000.0
78363,R,Action,Keenen Ivory Wayans,10000000.0,108.0,65000000.0
78380,R,Comedy,Kevin Spacey,700000.0,93.0,100000000.0
78407,PG,Action,Nick Nolte,45000000.0,123.0,75000000.0
78431,PG-13,Action,Damon Wayans,30000000.0,92.0,35000000.0
78532,R,Biography,Jennifer Jason Leigh,7000000.0,125.0,5000000.0
78540,PG-13,Comedy,Taylor Nichols,3200000.0,101.0,
78547,R,Drama,Nikita Mikhalkov,2800000.0,135.0,
78581,R,Comedy,Dermot Mulroney,10500000.0,99.0,11000000.0
78599,PG,Comedy,Brian Benben,15000000.0,108.0,13000000.0
78618,PG-13,Comedy,Robin Williams,40000000.0,122.0,50000000.0
78666,R,Crime,Joe Pesci,30000000.0,112.0,50000000.0
78702,PG,Adventure,Adam Beach,19200000.0,102.0,2000000.0
78710,PG,Comedy,Macaulay Culkin,30000000.0,109.0,18000000.0
78728,R,Action,Jason Scott Lee,20000000.0,107.0,6000000.0
78770,PG-13,Comedy,Alicia Silverstone,12000000.0,97.0,20000000.0
78812,R,Crime,Morgan Freeman,33000000.0,127.0,250000000.0
78820,R,Biography,Mel Gibson,72000000.0,178.0,425000000.0
78837,PG,Adventure,Tom Hanks,52000000.0,140.0,400000000.0
78847,R,Crime,Kevin Spacey,6000000.0,106.0,100000000.0
78865,PG,Adventure,Robin Williams,65000000.0,104.0,50000000.0
78893,R,Crime,Robert De Niro,52000000.0,178.0,500000000.0
78933,PG-13,Action,Laura Linney,50000000.0,109.0,10000000.0
78949,PG-13,Action,Val Kilmer,100000000.0,121.0,25000000.0
78959,NC-17,Drama,Leo Fitzpatrick,1500000.0,91.0,
79051,G,Animation,Tom Hanks,30000000.0,81.0,400000000.0
79072,R,Action,Antonio Banderas,7000000.0,104.0,50000000.0
79124,R,Action,Bruce Willis,90000000.0,128.0,250000000.0
79132,PG-13,Action,Christopher Lambert,18000000.0,101.0,5000000.0
79168,R,Comedy,Shannen Doherty,8000000.0,94.0,5000000.0
79176,R,Mystery,Bruce Willis,29000001.0,129.0,250000000.0
79195,R,Drama,Nicolas Cage,3600000.0,111.0,25000000.0
79211,NC-17,Drama,Elizabeth Berkley,45000000.0,128.0,6000000.0
79229,R,Drama,Ethan Hawke,2500000.0,101.0,55000000.0
79251,R,Comedy,Ice Cube,3500000.0,91.0,160000000.0
79309,PG,Drama,Emma Thompson,16000000.0,136.0,50000000.0
79328,PG-13,Action,Kevin Costner,175000000.0,135.0,250000000.0
79362,R,Biography,Leonardo DiCaprio,2000000.0,102.0,260000000.0
79371,PG-13,Comedy,Adam Sandler,10000000.0,89.0,420000000.0
79379,PG,Action,Karan Ashley,20000000.0,95.0,
79388,PG-13,Action,Pierce Brosnan,60000000.0,130.0,200000000.0
79398,R,Action,Natasha Henstridge,35000000.0,108.0,14500000.0
79409,R,Action,Dustin Hoffman,50000000.0,127.0,100000000.0
79440,R,Comedy,Tim Roth,4000000.0,98.0,7000000.0
79464,R,Action,Sharon Stone,32000000.0,107.0,60000000.0
79489,PG-13,Comedy,Jonny Lee Miller,20000000.0,105.0,14000000.0
79505,PG,Comedy,Bill Pullman,50000000.0,100.0,18000000.0
79541,R,Action,Lori Petty,25000000.0,104.0,3000000.0
79588,G,Animation,Mel Gibson,55000000.0,81.0,425000000.0
79616,G,Animation,Bill Farmer,18000000.0,78.0,
79626,R,Biography,Michelle Pfeiffer,23000000.0,99.0,250000000.0
79645,R,Action,Gene Hackman,53000000.0,116.0,80000000.0
79654,R,Comedy,Nicole Kidman,20000000.0,106.0,250000000.0
79673,PG,Comedy,Harrison Ford,58000000.0,127.0,300000000.0
79766,PG,Comedy,Sandra Bullock,17000000.0,103.0,200000000.0
79788,R,Comedy,Gene Hackman,30250000.0,105.0,80000000.0
79830,G,Comedy,James Cromwell,30000000.0,91.0,8000000.0
79888,R,Crime,Susan Sarandon,11000000.0,122.0,60000000.0
79926,PG-13,Comedy,Shelley Long,12000000.0,90.0,10000000.0
79967,PG-13,Drama,Clint Eastwood,24000000.0,135.0,375000000.0
79975,R,Action,Ralph Fiennes,42000000.0,145.0,30000000.0
79992,PG-13,Action,Geena Davis,98000000.0,124.0,30000000.0
80002,R,Action,Sylvester Stallone,90000000.0,96.0,400000000.0
80012,R,Fantasy,Ron Perlman,18000000.0,112.0,15000000.0
80022,R,Drama,Sigourney Weaver,20000000.0,123.0,60000000.0
80080,PG-13,Drama,Mary Steenburgen,9500000.0,111.0,80000000.0
80142,G,Drama,Liesel Matthews,17000000.0,97.0,
80189,PG-13,Comedy,Michael Douglas,62000000.0,114.0,350000000.0
80209,R,Action,Steven Seagal,60000000.0,100.0,16000000.0
80230,PG,Drama,Richard Dreyfuss,23000000.0,143.0,5000000.0
80239,R,Action,Christopher Walken,8000000.0,98.0,50000000.0
80281,R,Adventure,Johnny Depp,9000000.0,121.0,150000000.0
80289,PG-13,Adventure,Jim Carrey,30000000.0,90.0,180000000.0
80305,PG-13,Action,Sean Connery,55000000.0,134.0,350000000.0
80314,R,Crime,David Caruso,50000000.0,95.0,35000000.0
80364,PG,Comedy,Steve Guttenberg,12000000.0,100.0,14000000.0
80386,R,Action,Denzel Washington,30000000.0,106.0,250000000.0
80403,R,Horror,Donald Pleasence,5000000.0,87.0,10000000.0
80412,PG,Comedy,Steve Martin,30000000.0,106.0,140000000.0
80420,R,Action,Sylvester Stallone,50000000.0,132.0,400000000.0
80566,PG-13,Drama,Keanu Reeves,20000000.0,102.0,360000000.0
80576,R,Adventure,Liam Neeson,28000000.0,139.0,145000000.0
80595,R,Action,Larenz Tate,10000000.0,119.0,4500000.0
80612,PG,Comedy,Schuyler Fisk,6500000.0,94.0,
80641,R,Comedy,Whitney Houston,16000000.0,124.0,-20000000.0
80650,R,Comedy,Heather Matarazzo,800000.0,88.0,750000.0
80657,PG,Drama,Hal Scardino,45000000.0,96.0,
80667,R,Action,Jackie Chan,7500000.0,87.0,400000000.0
80675,R,Crime,Denzel Washington,27000000.0,102.0,250000000.0
80683,PG-13,Comedy,Winona Ryder,10000000.0,117.0,18000000.0
80700,R,Action,Billy Zane,13000000.0,92.0,20000000.0
80710,PG-13,Action,Sandra Bullock,22000000.0,114.0,200000000.0
80763,R,Comedy,Steve Buscemi,500000.0,90.0,35000000.0
80771,PG-13,Comedy,Leslie Nielsen,30000000.0,88.0,20000000.0
80789,R,Horror,Christopher Reeve,22000000.0,98.0,3000000.0
80812,R,Action,Jeff Bridges,30000000.0,98.0,100000000.0
80854,PG-13,Comedy,Walter Matthau,25000000.0,101.0,10000000.0
80862,R,Comedy,Whoopi Goldberg,21000000.0,115.0,60000000.0
80870,R,Crime,Clarence Williams III,6000000.0,98.0,2000000.0
80878,R,Action,Wesley Snipes,68000000.0,110.0,10000000.0
80887,R,Horror,Tony Todd,6000000.0,95.0,10000000.0
80897,R,Drama,Jack Nicholson,9000000.0,111.0,400000000.0
81105,R,Biography,Anthony Hopkins,44000000.0,192.0,160000000.0
81120,R,Fantasy,Jeff Goldblum,15000000.0,106.0,40000000.0
81188,Not Rated,Comedy,Predrag 'Miki' Manojlovic,14000000.0,167.0,
81372,R,Comedy,Woody Allen,15000000.0,95.0,140000000.0
81389,R,Biography,Leonardo DiCaprio,8000000.0,111.0,260000000.0
81434,R,Action,William Baldwin,50000000.0,91.0,
81604,R,Horror,Scott Bakula,12000000.0,109.0,10000000.0
81612,R,Drama,Demi Moore,46000000.0,135.0,200000000.0
81693,R,Action,Johnny Depp,33000000.0,90.0,150000000.0
81741,R,Crime,Andy Garcia,7000000.0,115.0,20000000.0
81777,R,Drama,Julianne Moore,1000000.0,119.0,50000000.0
82173,PG,Comedy,John Candy,11000000.0,91.0,15000000.0
82180,R,Horror,Peter Weller,20000000.0,108.0,8000000.0
82205,R,Comedy,Eddie Murphy,20000000.0,100.0,200000000.0
82301,PG,Adventure,Thomas Ian Nicholas,15000000.0,89.0,3000000.0
82310,R,Drama,Laurence Fishburne,11000000.0,123.0,30000000.0
82416,R,Crime,Harvey Keitel,25000000.0,128.0,45000000.0
82424,R,Comedy,Harvey Keitel,7000000.0,112.0,45000000.0
82649,PG,Adventure,Patrick Swayze,32000000.0,96.0,40000000.0
82667,R,Crime,David Caruso,40000000.0,101.0,35000000.0
82829,PG-13,Comedy,Holly Hunter,20000000.0,103.0,14000000.0
82909,R,Drama,Mark Rylance,4997987.0,116.0,10000000.0
83341,R,Action,Christopher Lambert,20000000.0,110.0,5000000.0
83685,R,Biography,Robert Downey Jr.,19000000.0,117.0,
83775,R,Drama,Jimmy Smits,5500000.0,128.0,15000000.0
83810,R,Comedy,Jack Mulcahy,238000.0,98.0,
84136,PG,Comedy,Hugh Grant,40997769.0,99.0,150000000.0
84159,R,Comedy,Harvey Keitel,2000000.0,83.0,45000000.0
84247,R,Comedy,Parker Posey,150000.0,94.0,10000000.0
84359,R,Drama,Jessica Lange,17000000.0,111.0,15000000.0
84367,R,Crime,Peter Gallagher,6500000.0,99.0,8000000.0
84384,G,Animation,Martin Short,28000000.0,74.0,40000000.0
84393,PG,Drama,Matthew Modine,15000000.0,96.0,10000000.0
84406,PG,Comedy,Sinbad,10500000.0,113.0,4000000.0
84423,R,Crime,Ellen Barkin,15000000.0,108.0,80000000.0
84697,R,Drama,John Travolta,7000000.0,89.0,250000000.0
84706,R,Crime,Rebecca De Mornay,6400000.0,86.0,11000000.0
84716,PG-13,Action,Chuck Norris,6000000.0,86.0,70000000.0
84767,R,Comedy,Laurel Holloman,250000.0,94.0,3000000.0
84816,R,Comedy,Hugh Grant,4000000.0,112.0,150000000.0
84825,PG-13,Comedy,Sean Young,8000000.0,90.0,3500000.0
84835,PG-13,Biography,Nick Nolte,14000000.0,139.0,75000000.0
84843,PG,Drama,Patrick Swayze,10000000.0,115.0,40000000.0
84926,R,Crime,Shar-Ron Corley,5000000.0,98.0,
85013,R,Action,Patricia Arquette,23000000.0,100.0,24000000.0
85041,R,Action,Allen Payne,15000000.0,88.0,5000000.0
85098,PG,Animation,Michael Jordan,80000000.0,88.0,2200000000.0
85114,PG-13,Drama,Leonardo DiCaprio,14500000.0,120.0,260000000.0
85124,R,Crime,Robert De Niro,44000000.0,147.0,500000000.0
85190,R,Action,Harvey Keitel,19000000.0,108.0,45000000.0
85199,R,Crime,William H. Macy,7000000.0,98.0,
85234,PG-13,Action,Tom Cruise,80000000.0,110.0,600000000.0
85265,PG,Comedy,Danny DeVito,36000000.0,102.0,80000000.0
85313,PG-13,Action,Helen Hunt,92000000.0,113.0,75000000.0
85346,PG-13,Comedy,Adam Sandler,12000000.0,92.0,420000000.0
85354,G,Adventure,Glenn Close,75000000.0,103.0,50000000.0
85371,NC-17,Drama,James Spader,9000000.0,100.0,20000000.0
85579,R,Comedy,Tom Cruise,50000000.0,139.0,600000000.0
85588,R,Action,Sean Connery,75000000.0,136.0,350000000.0
85626,R,Crime,Matthew McConaughey,40000000.0,149.0,140000000.0
85659,R,Drama,Robin Tunney,15000000.0,101.0,8000000.0
85667,R,Crime,Richard Gere,30000000.0,129.0,120000000.0
85687,PG-13,Comedy,Jack Nicholson,70000000.0,106.0,400000000.0
85697,R,Drama,Ralph Fiennes,27000000.0,162.0,30000000.0
85705,R,Action,Geena Davis,65000000.0,121.0,30000000.0
85920,R,Comedy,Luke Wilson,7000000.0,91.0,50000000.0
85946,R,Drama,Jeremy Irons,10000000.0,118.0,16000000.0
85954,R,Crime,Jennifer Tilly,4500000.0,109.0,25000000.0
86237,R,Drama,Billy Bob Thornton,1000000.0,135.0,45000000.0
86245,PG-13,Comedy,Barbra Streisand,42000000.0,126.0,400000000.0
86255,R,Comedy,Robin Williams,31000000.0,117.0,50000000.0
86265,PG,Comedy,Tom Hanks,26000000.0,108.0,400000000.0
86273,PG-13,Horror,David Thewlis,40000000.0,96.0,800000.0
86300,PG-13,Comedy,Woody Harrelson,27000000.0,114.0,70000000.0
86343,G,Animation,Demi Moore,100000000.0,91.0,200000000.0
86407,R,Comedy,Michael J. Fox,30000000.0,110.0,65000000.0
86414,R,Action,Arnold Schwarzenegger,100000000.0,115.0,400000000.0
86434,R,Comedy,Demi Moore,40000000.0,115.0,200000000.0
86470,PG-13,Action,Patrick Stewart,45000000.0,111.0,70000000.0
86477,R,Comedy,Vince Vaughn,200000.0,96.0,70000000.0
86556,R,Action,Kurt Russell,50000000.0,101.0,100000000.0
86581,PG-13,Comedy,Jim Carrey,47000000.0,96.0,180000000.0
86597,R,Comedy,Shawn Wayans,3800000.0,89.0,30000000.0
86605,R,Fantasy,Robert John Burke,8500000.0,93.0,
86614,R,Crime,Philip Baker Hall,3000000.0,101.0,750000.0
86621,PG-13,Comedy,Eddie Murphy,54000000.0,95.0,200000000.0
86650,R,Drama,Tony Shalhoub,4100000.0,109.0,30000000.0
86682,R,Adventure,Michael Douglas,55000000.0,110.0,350000000.0
86691,R,Action,Denzel Washington,46000000.0,116.0,250000000.0
86707,PG,Comedy,Goldie Hawn,26000000.0,103.0,90000000.0
86725,R,Action,Jada Pinkett Smith,9000000.0,123.0,50000000.0
86738,PG,Animation,Paul Terry,38000000.0,79.0,
86750,PG-13,Action,Dennis Quaid,57000000.0,103.0,30000000.0
86758,R,Action,Kurt Russell,55000000.0,133.0,100000000.0
86780,PG-13,Comedy,Pauly Shore,15000000.0,88.0,30000000.0
86790,PG-13,Comedy,Robin Williams,45000000.0,113.0,50000000.0
86967,PG-13,Adventure,Jeff Bridges,38000000.0,129.0,100000000.0
86987,R,Action,John Travolta,50000000.0,108.0,250000000.0
87023,PG,Comedy,Gwyneth Paltrow,6000000.0,120.0,150000000.0
87263,PG-13,Action,Keanu Reeves,50000000.0,107.0,360000000.0
87319,Unrated,Crime,Naveen Andrews,3000000.0,114.0,10000000.0
87327,PG-13,Drama,Daniel Day-Lewis,25000000.0,124.0,60000000.0
87451,R,Comedy,Christopher Guest,4000000.0,84.0,60000000.0
87458,R,Comedy,Timothy Spall,4500000.0,136.0,4000000.0
87487,PG-13,Action,Sylvester Stallone,80000000.0,114.0,400000000.0
87551,R,Action,Bruce Willis,67000000.0,101.0,250000000.0
87640,PG-13,Mystery,Charlie Sheen,25000000.0,115.0,10000000.0
87700,R,Action,Mel Gibson,80000000.0,121.0,425000000.0
87827,PG-13,Animation,Mike Judge,12000000.0,81.0,75000000.0
87837,PG,Adventure,Jeff Daniels,22000000.0,107.0,45000000.0
87854,R,Comedy,Kevin Costner,45000000.0,135.0,250000000.0
87862,R,Action,Pamela Anderson,9000000.0,98.0,12000000.0
87899,PG,Action,Billy Zane,45000000.0,100.0,20000000.0
87962,R,Action,Robert De Niro,55000000.0,116.0,500000000.0
88034,R,Crime,Sally Field,20000000.0,101.0,55000000.0
88152,R,Comedy,Steve Buscemi,1300000.0,95.0,35000000.0
88160,R,Biography,Woody Harrelson,36000000.0,130.0,70000000.0
88170,R,Comedy,Reese Witherspoon,3000000.0,102.0,200000000.0
88187,PG,Comedy,Shaquille O'Neal,20000000.0,93.0,400000000.0
88196,PG-13,Comedy,Kelsey Grammer,31000000.0,92.0,80000000.0
88310,R,Crime,Nick Nolte,29000000.0,107.0,75000000.0
88319,PG,Adventure,Arnold Schwarzenegger,60000000.0,89.0,400000000.0
88345,R,Comedy,Edward Burns,3500000.0,96.0,40000000.0
88378,PG-13,Biography,Geoffrey Rush,5500000.0,105.0,40000000.0
88739,R,Action,Jean-Claude Van Damme,25000000.0,101.0,40000000.0
88780,R,Drama,Chris Cooper,5000000.0,135.0,10000000.0
88825,R,Biography,Liam Neeson,25000000.0,133.0,145000000.0
88833,PG,Drama,John Travolta,32000000.0,123.0,250000000.0
88869,PG,Comedy,Michelle Trachtenberg,12000000.0,100.0,9000000.0
88882,PG,Adventure,Paul Hogan,25530000.0,95.0,20000000.0
88921,PG,Biography,Madonna,55000000.0,135.0,850000000.0
88953,R,Comedy,Dennis Miller,13000000.0,87.0,100000000.0
88962,PG-13,Action,Leslie Nielsen,18000000.0,81.0,20000000.0
89107,PG-13,Drama,Meryl Streep,23000000.0,98.0,160000000.0
89115,PG-13,Comedy,Michael Keaton,45000000.0,117.0,40000000.0
89270,R,Comedy,Woody Allen,20000000.0,101.0,140000000.0
89277,PG-13,Comedy,Shelley Long,12000000.0,90.0,10000000.0
89287,R,Action,Vincent Perez,13000000.0,84.0,
89296,R,Biography,Jeffrey Wright,3300000.0,107.0,8000000.0
89306,PG-13,Action,Jean-Claude Van Damme,30000000.0,95.0,40000000.0
89470,R,Horror,Bruce Ramsay,4000000.0,85.0,
89478,R,Comedy,Scarlett Johansson,500000.0,88.0,165000000.0
89494,R,Crime,Chris O'Donnell,50000000.0,113.0,25000000.0
89557,R,Crime,Jack Nicholson,22000000.0,101.0,400000000.0
89565,R,Drama,Christopher Eccleston,7000000.0,123.0,6000000.0
89579,R,Action,Damon Wayans,25000000.0,84.0,35000000.0
89644,R,Comedy,Michael J. Pollard,8000000.0,93.0,
89665,PG-13,Comedy,Shirley MacLaine,25000000.0,105.0,50000000.0
89710,R,Action,Steven Seagal,45000000.0,91.0,16000000.0
89718,PG-13,Drama,Robert Redford,60000000.0,124.0,200000000.0
89738,R,Crime,Demi Moore,44000000.0,118.0,200000000.0
89765,R,Comedy,Ben Stiller,7000000.0,92.0,200000000.0
89782,PG-13,Comedy,Jerry O'Connell,13000000.0,80.0,20000000.0
89790,PG-13,Drama,Alec Baldwin,36000000.0,130.0,60000000.0
89810,PG,Comedy,Denzel Washington,40000000.0,123.0,250000000.0
90120,R,Comedy,Sarah Jessica Parker,5000000.0,92.0,150000000.0
90180,R,Horror,Mariel Hemingway,7000000.0,80.0,14000000.0
90204,PG,Comedy,Tom Arnold,17000000.0,89.0,30000000.0
90328,PG-13,Crime,Meryl Streep,35000000.0,108.0,160000000.0
90380,R,Comedy,Laura Dern,3000000.0,106.0,20000000.0
90388,R,Crime,Hugh Grant,38000000.0,118.0,150000000.0
90423,R,Comedy,Martin Lawrence,8000000.0,108.0,110000000.0
90478,PG,Biography,Vincent D'Onofrio,1300000.0,111.0,14000000.0
90487,PG,Comedy,Greg Kinnear,22000000.0,112.0,20000000.0
90559,PG-13,Comedy,David Schwimmer,8000000.0,98.0,100000000.0
90567,PG-13,Action,Patrick Bergin,15000000.0,93.0,6000000.0
90603,R,Comedy,William Baldwin,2300000.0,88.0,
90636,PG-13,Comedy,Whoopi Goldberg,30000000.0,100.0,60000000.0
90707,R,Drama,Al Pacino,40000000.0,111.0,120000000.0
90749,PG,Comedy,Helena Bonham Carter,5000000.0,134.0,60000000.0
90806,R,Drama,Julia Roberts,47000000.0,108.0,250000000.0
