,rating,genre,star,budget,runtime,star_net_worth
5801,PG,Comedy,Chevy Chase,8000000.0,93.0,50000000.0
5822,R,Drama,Steve Martin,22000000.0,108.0,140000000.0
5839,PG,Action,Klinton Spilsbury,18000000.0,98.0,
5856,PG,Adventure,Lesley-Anne Down,14000000.0,118.0,10000000.0
5966,R,Drama,Daniel Valdez,2700000.0,103.0,
5999,R,Comedy,Jack Lemmon,10000000.0,96.0,25000000.0
6007,R,Comedy,Richard Pryor,11000000.0,94.0,40000000.0
6091,PG,Comedy,Andy Kaufman,12000000.0,78.0,3000000.0
6152,PG,Comedy,Robert Hays,3500000.0,100.0,3000000.0
6179,R,Comedy,Richard Dreyfuss,13000000.0,119.0,5000000.0
6197,PG,Drama,Laurence Olivier,46000000.0,140.0,20000000.0
6207,R,Comedy,Gene Hackman,14000000.0,87.0,80000000.0
6299,PG,Adventure,Robert Duvall,12000000.0,100.0,70000000.0
6309,R,Drama,Jane Fonda,16000000.0,116.0,200000000.0
6343,PG,Action,David Rasche,24000000.0,107.0,3000000.0
6377,PG,Action,Harry Hamlin,2000000.0,90.0,10000000.0
6414,R,Horror,Neve Campbell,14000000.0,111.0,10000000.0
6532,R,Comedy,Sean Penn,4500000.0,90.0,70000000.0
6541,R,Action,Harrison Ford,28000000.0,117.0,300000000.0
6562,R,Horror,Kurt Russell,15000000.0,109.0,100000000.0
6714,R,Action,Arnold Schwarzenegger,20000000.0,129.0,400000000.0
6754,PG,Family,Henry Thomas,10500000.0,115.0,1500000.0
6762,R,Action,Sylvester Stallone,15000000.0,93.0,400000000.0
6797,R,Drama,Richard Gere,7500000.0,124.0,120000000.0
6816,PG,Comedy,Michelle Pfeiffer,13200000.0,115.0,250000000.0
6830,PG,Comedy,Aileen Quinn,50000000.0,127.0,500000.0
6958,PG,Horror,JoBeth Williams,10700000.0,114.0,50000000.0
7000,R,Action,Nick Nolte,12000000.0,96.0,75000000.0
7761,R,Drama,Meryl Streep,12000000.0,150.0,160000000.0
7769,PG,Biography,Ben Kingsley,22000000.0,191.0,60000000.0
7784,PG,Comedy,Dustin Hoffman,21000000.0,116.0,100000000.0
7797,PG,Action,Jeff Bridges,17000000.0,96.0,100000000.0
7805,G,Animation,Elizabeth Hartman,7000000.0,82.0,
7815,PG,Comedy,Robert De Niro,20000000.0,109.0,500000000.0
7824,PG,Drama,Sylvester Stallone,17000000.0,99.0,400000000.0
7832,PG,Action,Marc Singer,8000000.0,118.0,5000000.0
7840,R,Comedy,Hal Holbrook,8000000.0,120.0,5000000.0
7865,PG,Adventure,Kirk Douglas,3500000.0,102.0,60000000.0
7874,R,Drama,Bob Geldof,12000000.0,95.0,150000000.0
7883,R,Fantasy,Nastassja Kinski,18000000.0,118.0,20000000.0
7908,R,Drama,Bertil Guve,6000000.0,188.0,
7918,R,Horror,Dana Kimmell,2300000.0,95.0,
7928,PG,Action,Clint Eastwood,18000000.0,136.0,375000000.0
7937,R,Horror,Tom Atkins,2500000.0,98.0,500000.0
7945,PG,Adventure,Jim Henson,15000000.0,93.0,100000000.0
7953,R,Drama,Paul Newman,16000000.0,129.0,80000000.0
8031,Not Rated,Horror,Christopher George,300000.0,85.0,
8345,R,Comedy,Robin Williams,17000000.0,136.0,50000000.0
8354,R,Comedy,Steve Guttenberg,5000000.0,110.0,14000000.0
8386,R,Comedy,Burt Reynolds,35000000.0,114.0,3000000.0
8402,PG,Drama,Mel Gibson,13000000.0,115.0,425000000.0
8748,G,Animation,Jeff Bridges,3500000.0,92.0,100000000.0
8756,R,Drama,Barbara Hershey,9000000.0,125.0,12000000.0
8810,PG,Comedy,Richard Pryor,17000000.0,102.0,40000000.0
8839,R,Horror,Kate McNeil,425000.0,91.0,
8847,PG,Crime,Peter Ustinov,10000000.0,117.0,
8867,R,Action,Charles Bronson,2000000.0,89.0,65000000.0
8876,R,Action,Chuck Norris,4500000.0,103.0,70000000.0
8885,PG,Action,Barry Bostwick,20000000.0,99.0,3000000.0
8894,R,Drama,Mariel Hemingway,16000000.0,128.0,14000000.0
8916,PG,Comedy,Steve Martin,9000000.0,88.0,140000000.0
8924,R,Horror,James Olson,5000000.0,104.0,
8934,PG,Biography,Jack Lemmon,9500000.0,122.0,25000000.0
9345,PG,Comedy,Nick Nolte,11300000.0,120.0,75000000.0
9403,PG,Comedy,John Cassavetes,13000000.0,140.0,
9463,PG,Crime,Roy Scheider,10000000.0,93.0,15000000.0
9471,R,Horror,Robert Glaudini,800000.0,85.0,
9633,PG,Comedy,Clint Eastwood,2000000.0,122.0,375000000.0
9675,PG,Comedy,Cher,850000.0,109.0,25000000.0
9684,R,Action,Lewis Collins,6000000.0,125.0,5000000.0
9691,PG,Comedy,Peter Sellers,6000000.0,96.0,10000000.0
9716,R,Crime,Jack Nicholson,22000000.0,108.0,400000000.0
9844,PG,Comedy,Burt Reynolds,15000000.0,116.0,3000000.0
10053,R,Drama,Albert Finney,12000000.0,124.0,10000000.0
10107,R,Comedy,Jon Voight,17000000.0,105.0,55000000.0
10116,PG,Western,Willie Nelson,11000000.0,90.0,25000000.0
10412,R,Action,Ken Wahl,4000000.0,96.0,500000.0
10497,R,Comedy,Sean Connery,10000000.0,117.0,350000000.0
10529,R,Sci-Fi,Mark Blankfield,5000000.0,87.0,
10539,R,Action,Chuck Norris,5000000.0,90.0,70000000.0
10628,PG,Drama,John Hurt,10000000.0,107.0,30000000.0
10704,R,Action,Toni Attell,7000000.0,90.0,
10792,R,Comedy,Bette Midler,13400000.0,103.0,250000000.0
10848,R,Comedy,Ryan O'Neal,6000000.0,93.0,15000000.0
11142,PG,Comedy,Luciano Pavarotti,19000000.0,110.0,275000000.0
11316,R,Crime,Al Pacino,25000000.0,170.0,120000000.0
11353,PG,Crime,C. Thomas Howell,10000000.0,91.0,4000000.0
11418,PG,Action,Mark Hamill,32500000.0,131.0,18000000.0
11427,R,Comedy,Tom Cruise,6200000.0,99.0,600000000.0
11497,R,Adventure,Chevy Chase,15000000.0,98.0,50000000.0
11505,R,Comedy,Eddie Murphy,15000000.0,116.0,200000000.0
11515,PG,Action,Christopher Reeve,39000000.0,125.0,3000000.0
11525,R,Comedy,Tom Berenger,8000000.0,105.0,8000000.0
11534,PG,Drama,John Travolta,22000000.0,93.0,250000000.0
11556,PG,Adventure,Dennis Quaid,20500000.0,99.0,30000000.0
11566,R,Horror,Keith Gordon,9700000.0,110.0,
11614,R,Drama,Jennifer Beals,4000000.0,95.0,8000000.0
11623,PG,Action,Matthew Broderick,12000000.0,114.0,200000000.0
11635,PG,Adventure,Sam Shepard,27000000.0,193.0,10000000.0
11672,PG,Action,Ken Marshall,47000000.0,121.0,
11726,R,Drama,Christopher Walken,10000000.0,103.0,50000000.0
11759,PG,Action,Roger Moore,27500000.0,131.0,110000000.0
11769,R,Comedy,Phoebe Cates,3500000.0,89.0,35000000.0
11778,R,Comedy,Nicolas Cage,350000.0,99.0,25000000.0
11795,R,Crime,Matt Dillon,10000000.0,94.0,40000000.0
11803,R,Horror,James Woods,5952000.0,87.0,10000000.0
11810,PG,Comedy,Shirley MacLaine,8000000.0,132.0,50000000.0
11822,PG,Horror,Dan Aykroyd,10000000.0,101.0,200000000.0
11832,PG,Action,Sean Connery,36000000.0,134.0,350000000.0
11842,PG,Comedy,Peter Billingsley,3300000.0,93.0,12000000.0
11880,R,Horror,Dee Wallace,5000000.0,93.0,500000.0
11893,R,Action,Clint Eastwood,22000000.0,117.0,375000000.0
12017,R,Action,Roy Scheider,22000000.0,109.0,15000000.0
12047,R,Action,Richard Gere,7500000.0,100.0,120000000.0
12302,R,Biography,Meryl Streep,10000000.0,131.0,160000000.0
12310,R,Drama,Tom Cruise,5600000.0,91.0,600000000.0
12328,R,Drama,Scott Glenn,11000000.0,96.0,4000000.0
12365,PG,Drama,Barbra Streisand,12000000.0,133.0,400000000.0
12373,PG,Animation,Randy Norton,1200000.0,81.0,
12447,PG,Action,Graham Chapman,6500000.0,96.0,
12456,R,Comedy,John Cleese,9000000.0,107.0,10000000.0
12544,R,Action,Rick Hill,457000.0,80.0,
12552,R,Comedy,Dan Monahan,6500000.0,98.0,
12560,PG,Fantasy,Jason Robards,19000000.0,95.0,
12594,R,Biography,Mariel Hemingway,12000000.0,103.0,14000000.0
12602,R,Crime,William Hurt,15000000.0,128.0,18000000.0
12611,PG,Action,Chuck Norris,5000000.0,107.0,70000000.0
12829,R,Comedy,Tom Cruise,7000000.0,100.0,600000000.0
12843,R,Comedy,Peter Keleghan,800000.0,80.0,
12868,PG,Sci-Fi,Christopher Walken,15000000.0,106.0,50000000.0
12962,R,Action,Cliff Gorman,3000000.0,94.0,
13270,R,Crime,Charles Bronson,4520000.0,101.0,65000000.0
13278,R,Action,Gene Hackman,14500000.0,105.0,80000000.0
13310,R,Horror,Mary Beth McDonough,250000.0,93.0,
13352,PG,Adventure,Brooke Shields,25000000.0,111.0,40000000.0
13464,PG,Comedy,John Travolta,14000000.0,88.0,250000000.0
13632,R,Action,Linda Blair,1250000.0,95.0,16000000.0
13641,PG,Action,Peter Strauss,14400000.0,90.0,5000000.0
13690,PG,Animation,Don Francks,8000000.0,77.0,
13700,PG,Adventure,Lou Ferrigno,2500000.0,98.0,12000000.0
13943,R,Drama,Nick Nolte,9500000.0,128.0,75000000.0
13985,PG,Horror,Tony Roberts,6000000.0,105.0,
14064,R,Action,Rutger Hauer,6500000.0,103.0,16000000.0
