,title,rating,genre,score,star,budget,runtime,star_net_worth,movie_star_rating
134748,Shall We Dance,PG-13,Comedy,6.1,Richard Gere,50000000,106,120000000,B
134824,The Forgotten,PG-13,Drama,5.8,Julianne Moore,42000000,91,50000000,B
135016,Jersey Girl,PG-13,Comedy,6.2,Ben Affleck,35000000,102,150000000,B
135089,Bridget Jones: The Edge of Reason,R,Comedy,6,Renée Zellweger,40000000,108,90000000,B
135473,A Dirty Shame,NC-17,Comedy,5.1,Tracey Ullman,15000000,89,115000000,B
135497,The Door in the Floor,R,Comedy,6.7,Jeff Bridges,7500000,111,100000000,B
135638,Superbabies: Baby Geniuses 2,PG,Comedy,1.9,Jon Voight,20000000,88,55000000,B
136067,Christmas with the Kranks,PG,Comedy,5.4,Tim Allen,60000000,99,100000000,B
136187,The Merchant of Venice,R,Drama,7,Al Pacino,30000000,131,120000000,B
136254,Ladder 49,PG-13,Action,6.5,Joaquin Phoenix,55000000,115,50000000,B
136323,Beyond the Sea,PG-13,Biography,6.7,Kevin Spacey,23000000,118,100000000,B
136535,The Big Bounce,PG-13,Comedy,4.9,Owen Wilson,50000000,88,70000000,B
136815,Catch That Kid,PG,Action,5.2,Kristen Stewart,12000000,91,70000000,B
136931,Welcome to Mooseport,PG-13,Comedy,5.2,Gene Hackman,30000000,110,80000000,B
136993,Harry Potter and the Goblet of Fire,PG-13,Adventure,7.7,Daniel Radcliffe,150000000,157,110000000,B
137011,The 40-Year-Old Virgin,R,Comedy,7.1,Steve Carell,26000000,116,80000000,B
137029,Pride & Prejudice,PG,Drama,7.8,Keira Knightley,28000000,129,80000000,B
137039,Batman Begins,PG-13,Action,8.2,Christian Bale,150000000,140,120000000,B
137072,Brokeback Mountain,R,Drama,7.7,Jake Gyllenhaal,14000000,134,80000000,B
137107,Charlie and the Chocolate Factory,PG,Adventure,6.6,Johnny Depp,150000000,115,150000000,B
137146,Wedding Crashers,R,Comedy,6.9,Owen Wilson,40000000,119,70000000,B
137577,Waiting...,R,Comedy,6.7,Ryan Reynolds,3000000,94,150000000,B
137635,Sky High,PG,Adventure,6.2,Kurt Russell,35000000,100,100000000,B
137730,Assault on Precinct 13,R,Action,6.3,Ethan Hawke,30000000,109,55000000,B
137746,Madagascar,PG,Animation,6.9,Chris Rock,75000000,86,60000000,B
137981,Walk the Line,PG-13,Biography,7.8,Joaquin Phoenix,28000000,136,50000000,B
138184,Jarhead,R,Action,7,Jake Gyllenhaal,72000000,125,80000000,B
138309,Flightplan,PG-13,Drama,6.3,Jodie Foster,55000000,98,100000000,B
138327,Dark Water,PG-13,Drama,5.6,Jennifer Connelly,30000000,105,50000000,B
138459,The Amityville Horror,R,Horror,6,Ryan Reynolds,19000000,90,150000000,B
138575,Cinderella Man,PG-13,Biography,8,Russell Crowe,88000000,144,100000000,B
138584,Nanny McPhee,PG,Comedy,6.6,Emma Thompson,25000000,97,50000000,B
138601,Corpse Bride,PG,Animation,7.3,Johnny Depp,40000000,77,150000000,B
138611,Transporter 2,R,Action,6.3,Jason Statham,32000000,87,90000000,B
138619,Two for the Money,R,Crime,6.3,Matthew McConaughey,35000000,122,140000000,B
138666,The New World,PG-13,Biography,6.7,Colin Farrell,30000000,135,80000000,B
138819,Elektra,PG-13,Action,4.7,Jennifer Garner,43000000,97,80000000,B
138868,The Legend of Zorro,PG,Action,6,Antonio Banderas,75000000,129,50000000,B
138878,Cheaper by the Dozen 2,PG,Adventure,5.5,Steve Martin,60000000,94,140000000,B
139208,The Skeleton Key,PG-13,Drama,6.5,Kate Hudson,43000000,104,80000000,B
139282,Domino,R,Action,5.9,Keira Knightley,50000000,127,80000000,B
139400,Harsh Times,R,Action,6.9,Christian Bale,2000000,116,120000000,B
140681,Hoodwinked,PG,Animation,6.4,Anne Hathaway,30000000,80,60000000,B
140703,The Three Burials of Melquiades Estrada,R,Adventure,7.4,Tommy Lee Jones,15000000,121,90000000,B
141146,The Ballad of Jack and Rose,R,Drama,6.6,Daniel Day-Lewis,1500000,112,60000000,B
141464,Tideland,R,Drama,6.5,Jeff Bridges,19300000,120,100000000,B
141547,An American Haunting,PG-13,Drama,5.1,Donald Sutherland,14000000,83,60000000,B
141915,Keeping Mum,R,Comedy,6.8,Rowan Atkinson,169000,99,150000000,B
142594,Dreamer,PG,Drama,6.8,Kurt Russell,32000000,106,100000000,B
143062,Rebound,PG,Comedy,5.2,Martin Lawrence,33100000,86,110000000,B
143233,The Prestige,PG-13,Drama,8.5,Christian Bale,40000000,130,120000000,B
143242,Cars,G,Animation,7.1,Owen Wilson,120000000,117,70000000,B
143284,The Devil Wears Prada,PG-13,Comedy,6.9,Anne Hathaway,35000000,109,60000000,B
143322,Pirates of the Caribbean: Dead Man's Chest,PG-13,Action,7.3,Johnny Depp,225000000,151,150000000,B
143367,Little Children,R,Drama,7.5,Kate Winslet,26000000,137,65000000,B
143375,Children of Men,R,Adventure,7.9,Julianne Moore,76000000,109,50000000,B
143415,Little Miss Sunshine,R,Comedy,7.8,Steve Carell,8000000,101,80000000,B
143591,Nacho Libre,PG,Comedy,5.8,Jack Black,35000000,92,50000000,B
